"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"27787","OGN",0,1,2,0,1
"27788","OGT",4207,2307,3136,1973,1002
"27789","OIP5",0,1,1,2,1
"27790","OIP5-AS1",1042,522,808,583,338
"27791","OIT3",0,0,0,0,0
"27792","OLA1",154,101,163,98,90
"27793","OLA1P1",0,0,1,0,1
"27794","OLA1P2",1,1,0,0,0
"27795","OLA1P3",1,0,0,0,0
"27796","OLAH",1,3,0,1,0
"27797","OLFM1",29,9,44,13,18
"27798","OLFM2",38,42,13,33,14
"27799","OLFM3",0,0,0,0,0
"27800","OLFM4",24,23,85,4,26
"27801","OLFM5P",4,0,1,0,0
"27802","OLFML1",1,0,0,0,0
"27803","OLFML2A",3,6,1,0,5
"27804","OLFML2B",10,5,6,2,6
"27805","OLFML3",0,2,0,0,2
"27806","OLIG1",145,95,48,75,171
"27807","OLIG2",14,14,5,8,34
"27808","OLIG3",0,0,0,0,0
"27809","OLMALINC",5,6,4,1,3
"27810","OLR1",4,1,23,0,10
"27811","OMA1",135,73,109,66,56
"27812","OMD",0,0,0,0,0
"27813","OMG",15,11,12,2,3
"27814","OMP",0,1,0,0,0
"27815","ONECUT1",0,0,0,0,0
"27816","ONECUT2",0,0,0,0,0
"27817","ONECUT3",0,0,0,0,0
"27818","OOEP",0,1,0,0,0
"27819","OOEP-AS1",0,0,0,0,0
"27820","OOSP1",0,0,0,0,0
"27821","OOSP1P1",0,0,0,0,0
"27822","OOSP1P2",0,0,0,0,0
"27823","OOSP2",0,0,0,0,0
"27824","OPA1",420,222,418,262,145
"27825","OPA1-AS1",0,0,0,1,0
"27826","OPA3",165,72,113,115,82
"27827","OPALIN",0,0,0,0,0
"27828","OPCML",0,0,0,0,0
"27829","OPCML-IT1",0,0,0,0,0
"27830","OPCML-IT2",0,0,0,0,0
"27831","OPHN1",8,7,11,4,2
"27832","OPLAH",54,51,26,61,36
"27833","OPN1LW",0,0,0,0,0
"27834","OPN1MW",0,0,0,0,0
"27835","OPN1MW2",0,0,0,0,0
"27836","OPN1MW3",0,0,0,0,0
"27837","OPN1SW",4,0,3,3,1
"27838","OPN3",60,24,24,32,32
"27839","OPN4",0,0,0,0,0
"27840","OPN5",0,0,0,0,0
"27841","OPRD1",1,3,0,2,0
"27842","OPRK1",0,0,0,0,0
"27843","OPRL1",129,83,62,74,110
"27844","OPRM1",0,0,0,0,0
"27845","OPTC",0,0,0,0,0
"27846","OPTN",1065,1409,914,1348,1512
"27847","OR10A2",0,0,0,0,0
"27848","OR10A3",0,0,0,0,0
"27849","OR10A4",0,0,0,0,0
"27850","OR10A5",0,0,0,0,0
"27851","OR10A6",0,0,0,0,0
"27852","OR10A7",0,0,0,0,0
"27853","OR10AA1P",6,0,3,0,0
"27854","OR10AB1P",0,0,0,0,0
"27855","OR10AC1",0,0,0,0,0
"27856","OR10AD1",0,0,0,0,1
"27857","OR10AE1P",0,0,0,0,0
"27858","OR10AE3P",0,0,0,0,0
"27859","OR10AF1P",0,0,0,0,0
"27860","OR10AG1",0,0,0,0,0
"27861","OR10AH1P",0,2,0,0,0
"27862","OR10AK1P",0,0,0,0,0
"27863","OR10B1P",0,0,0,0,0
"27864","OR10C1",0,0,0,0,0
"27865","OR10D1P",0,0,0,0,0
"27866","OR10D3",0,0,0,0,0
"27867","OR10D4P",0,0,0,0,0
"27868","OR10D5P",0,0,0,0,0
"27869","OR10G1P",0,0,0,0,0
"27870","OR10G2",4,2,0,1,1
"27871","OR10G3",0,0,0,0,0
"27872","OR10G4",0,0,0,0,0
"27873","OR10G5P",0,0,0,0,0
"27874","OR10G6",0,0,0,0,0
"27875","OR10G7",0,0,0,0,0
"27876","OR10G8",0,0,0,0,0
"27877","OR10G9",0,0,0,0,0
"27878","OR10H1",0,0,0,0,0
"27879","OR10H2",0,0,0,0,0
"27880","OR10H3",0,0,0,0,0
"27881","OR10H4",0,0,0,0,0
"27882","OR10H5",0,0,0,0,0
"27883","OR10J1",0,0,0,0,0
"27884","OR10J2P",1,0,0,0,0
"27885","OR10J3",0,2,0,0,0
"27886","OR10J4",0,0,0,0,0
"27887","OR10J5",0,0,0,0,0
"27888","OR10J6P",0,0,0,0,0
"27889","OR10J7P",0,0,0,0,0
"27890","OR10J8P",0,0,0,0,0
"27891","OR10J9P",0,0,0,0,0
"27892","OR10K1",0,0,0,0,0
"27893","OR10K2",0,0,0,0,0
"27894","OR10N1P",0,0,0,0,0
"27895","OR10P1",0,0,1,0,0
"27896","OR10Q1",0,0,0,0,0
"27897","OR10Q2P",0,0,0,0,0
"27898","OR10R1P",0,0,0,0,0
"27899","OR10R2",0,0,0,0,0
"27900","OR10R3P",0,0,0,0,0
