"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"10936","CST1",0,0,0,0,0
"10937","CST11",0,0,0,0,0
"10938","CST12P",0,0,0,0,0
"10939","CST13P",0,0,0,0,0
"10940","CST2",0,0,0,0,0
"10941","CST2P1",0,0,0,0,0
"10942","CST3",2357,1743,1371,1700,3056
"10943","CST4",0,0,0,0,0
"10944","CST5",0,0,0,0,0
"10945","CST6",0,0,0,0,0
"10946","CST7",950,649,1736,598,536
"10947","CST8",0,0,0,0,0
"10948","CST9",0,0,0,0,0
"10949","CST9L",0,0,0,0,0
"10950","CST9LP1",0,0,0,0,0
"10951","CST9LP2",0,0,0,0,0
"10952","CSTA",706,305,642,256,337
"10953","CSTB",510,370,486,240,349
"10954","CSTF1",239,135,162,120,138
"10955","CSTF2",65,58,70,35,38
"10956","CSTF2T",311,243,275,263,201
"10957","CSTF3",89,61,81,76,46
"10958","CSTF3-AS1",0,0,1,1,0
"10959","CSTL1",0,0,0,0,0
"10960","CSTP1",0,0,0,0,0
"10961","CSTP2",0,0,0,0,0
"10962","CT45A1",0,0,0,0,0
"10963","CT45A10",0,0,0,0,0
"10964","CT45A11P",1,0,0,0,0
"10965","CT45A2",0,0,0,0,0
"10966","CT45A3",0,0,0,0,0
"10967","CT45A5",0,0,0,0,0
"10968","CT45A6",0,0,0,0,0
"10969","CT45A7",0,0,0,0,0
"10970","CT45A8",0,0,0,0,0
"10971","CT45A9",0,0,0,0,0
"10972","CT47A1",0,0,0,0,0
"10973","CT47A10",0,0,0,0,0
"10974","CT47A11",0,0,0,0,0
"10975","CT47A12",0,0,0,0,0
"10976","CT47A2",0,0,0,0,0
"10977","CT47A3",0,0,0,0,0
"10978","CT47A4",0,0,0,0,0
"10979","CT47A5",0,0,0,0,0
"10980","CT47A6",0,0,0,0,0
"10981","CT47A7",0,0,0,0,0
"10982","CT47A8",0,0,0,0,0
"10983","CT47A9",0,0,0,0,0
"10984","CT47B1",0,0,0,0,0
"10985","CT55",0,0,0,0,0
"10986","CT62",0,0,0,0,0
"10987","CT83",0,0,0,0,0
"10988","CT867976.1",0,0,0,0,0
"10989","CT867977.1",0,0,0,0,0
"10990","CT978678.1",0,0,0,0,0
"10991","CTA-109P11.1",0,0,0,0,0
"10992","CTA-109P11.4",0,0,1,0,0
"10993","CTA-113A6.1",1,1,2,0,0
"10994","CTA-113A6.2",4,3,0,0,0
"10995","CTA-125H2.1",0,0,0,0,0
"10996","CTA-125H2.2",0,0,0,0,0
"10997","CTA-125H2.3",0,0,0,0,0
"10998","CTA-126B4.7",0,1,0,1,2
"10999","CTA-14H9.5",7,1,5,1,3
"11000","CTA-150C2.13",0,0,0,0,0
"11001","CTA-150C2.20",1,0,0,0,0
"11002","CTA-204B4.2",11,8,2,3,3
"11003","CTA-212A2.1",6,3,5,4,3
"11004","CTA-212A2.2",0,0,0,0,0
"11005","CTA-212A2.3",0,1,1,0,0
"11006","CTA-212A2.4",0,0,0,0,0
"11007","CTA-212D2.2",0,2,0,0,0
"11008","CTA-215D11.4",1,0,1,0,0
"11009","CTA-217C2.2",5,1,3,0,0
"11010","CTA-21C21.1",0,0,0,0,0
"11011","CTA-221G9.10",0,0,0,0,0
"11012","CTA-221G9.11",0,0,0,0,0
"11013","CTA-221G9.12",0,0,0,0,0
"11014","CTA-221G9.7",0,0,0,0,0
"11015","CTA-223H9.9",2,0,0,0,1
"11016","CTA-228A9.3",3,1,2,2,1
"11017","CTA-228A9.4",5,1,1,1,1
"11018","CTA-242H14.1",3,1,1,2,0
"11019","CTA-243E7.1",4,0,0,1,0
"11020","CTA-243E7.2",0,0,0,0,0
"11021","CTA-243E7.3",0,0,0,0,0
"11022","CTA-243E7.4",0,0,0,0,0
"11023","CTA-246H3.11",1,1,2,4,1
"11024","CTA-246H3.12",1,0,0,0,0
"11025","CTA-246H3.8",0,0,0,0,0
"11026","CTA-249B10.1",0,0,0,0,0
"11027","CTA-250D10.19",0,0,0,0,0
"11028","CTA-250D13.1",0,0,0,0,0
"11029","CTA-253N17.1",0,2,1,4,1
"11030","CTA-254O6.1",0,0,0,0,0
"11031","CTA-256D12.11",1,1,0,0,1
"11032","CTA-268H5.12",3,2,2,0,1
"11033","CTA-268H5.14",0,0,1,0,0
"11034","CTA-268H5.9",0,0,0,0,0
"11035","CTA-276F8.1",3,2,1,0,0
"11036","CTA-276F8.2",0,0,0,0,0
"11037","CTA-276O3.4",2,0,0,1,1
"11038","CTA-280A3.2",0,0,0,0,0
"11039","CTA-280A3__B.2",0,0,0,0,0
"11040","CTA-286B10.7",0,0,0,0,0
"11041","CTA-286B10.8",0,0,0,0,0
"11042","CTA-292E10.6",8,3,5,5,6
"11043","CTA-292E10.7",0,0,0,0,0
"11044","CTA-292E10.8",3,0,2,1,1
"11045","CTA-293F17.1",1,0,2,0,2
"11046","CTA-298G8.2",0,0,0,0,0
"11047","CTA-299D3.8",0,0,0,0,0
"11048","CTA-29F11.1",11,26,11,7,6
"11049","CTA-305I2.1",0,0,0,0,0
"11050","CTA-313A17.2",0,1,1,0,0
"11051","CTA-313A17.3",0,0,0,0,0
"11052","CTA-313A17.5",0,0,0,0,0
"11053","CTA-315H11.2",0,0,0,0,0
"11054","CTA-31J9.2",0,0,0,0,0
"11055","CTA-326K9.1",0,0,0,0,0
"11056","CTA-331F8.1",0,0,0,0,0
"11057","CTA-331P3.1",2,3,7,1,4
"11058","CTA-339C12.1",0,0,0,0,0
"11059","CTA-342B11.1",0,0,0,0,0
"11060","CTA-342B11.2",0,0,0,0,0
"11061","CTA-345G4.1",1,0,0,0,0
"11062","CTA-351J1.1",0,1,0,2,4
"11063","CTA-360L10.1",1,2,0,0,0
"11064","CTA-363E19.2",9,9,3,7,1
"11065","CTA-363E6.1",0,0,0,0,0
"11066","CTA-363E6.2",0,0,0,0,0
"11067","CTA-363E6.3",0,0,0,0,0
"11068","CTA-363E6.5",0,0,0,0,0
"11069","CTA-363E6.6",136,192,301,240,161
"11070","CTA-363E6.7",0,0,0,0,0
"11071","CTA-363E6.8",0,0,0,0,0
"11072","CTA-369K23.1",0,0,0,0,0
"11073","CTA-373H7.7",2,0,0,0,0
"11074","CTA-384D8.31",3,1,1,0,0
"11075","CTA-384D8.33",0,0,0,0,0
"11076","CTA-384D8.34",29,4,4,3,0
"11077","CTA-384D8.35",38,13,9,3,2
"11078","CTA-384D8.36",113,54,86,32,89
"11079","CTA-38K21.2",1,0,1,3,0
"11080","CTA-390C10.10",5,8,1,12,5
"11081","CTA-390C10.9",0,0,0,0,0
"11082","CTA-392C11.1",0,0,0,0,0
"11083","CTA-392C11.2",0,0,0,0,0
"11084","CTA-392E5.1",0,1,2,0,4
"11085","CTA-397C4.2",0,0,0,0,0
"11086","CTA-397H3.3",0,0,0,0,0
"11087","CTA-398F10.1",0,0,0,0,0
"11088","CTA-398F10.2",0,0,0,0,0
"11089","CTA-407F11.7",0,0,0,0,0
"11090","CTA-407F11.8",0,0,0,1,0
"11091","CTA-407F11.9",0,0,0,0,0
"11092","CTA-414D7.1",1,2,0,0,0
"11093","CTA-415G2.2",0,0,1,0,0
"11094","CTA-440B3.1",0,0,0,0,0
"11095","CTA-444M12.3",0,0,0,0,0
"11096","CTA-445C9.14",4,7,5,7,4
"11097","CTA-481E9.2",0,0,0,0,0
"11098","CTA-481E9.3",0,0,0,0,0
"11099","CTA-481E9.4",0,0,0,0,0
"11100","CTA-503F6.2",0,0,0,0,0
"11101","CTA-520D8.2",0,0,0,0,0
"11102","CTA-714B7.4",0,0,0,0,0
"11103","CTA-714B7.7",0,0,0,0,0
"11104","CTA-722E9.1",1,0,1,0,0
"11105","CTA-747E2.10",1,0,0,0,0
"11106","CTA-796E4.3",0,0,0,0,0
"11107","CTA-796E4.4",0,0,0,0,0
"11108","CTA-797E19.1",0,0,0,0,0
"11109","CTA-797E19.2",0,0,0,0,0
"11110","CTA-833B7.2",4,1,0,10,1
"11111","CTA-85E5.6",2,1,1,0,0
"11112","CTA-85E5.7",0,0,0,0,0
"11113","CTA-929C8.5",0,0,0,0,0
"11114","CTA-929C8.6",0,0,0,0,0
"11115","CTA-929C8.7",0,0,0,0,0
"11116","CTA-929C8.8",0,0,0,0,0
"11117","CTA-941F9.10",5,2,3,1,0
"11118","CTA-963H5.5",15,19,10,9,9
"11119","CTA-972D3.2",0,0,0,0,0
"11120","CTA-984G1.5",0,2,2,0,0
"11121","CTA-989H11.1",2,1,0,1,1
"11122","CTA-992D9.10",0,0,0,0,0
"11123","CTA-992D9.11",0,0,0,0,0
"11124","CTA-992D9.6",0,0,0,0,0
"11125","CTA-992D9.7",0,0,0,0,0
"11126","CTA-992D9.8",0,0,0,0,0
"11127","CTA-992D9.9",0,0,0,0,0
"11128","CTAG1A",0,0,0,0,0
"11129","CTAG1B",0,0,0,0,0
"11130","CTAG2",0,0,0,0,0
"11131","CTAGE1",0,0,0,0,0
"11132","CTAGE10P",0,0,0,0,0
"11133","CTAGE11P",0,0,0,0,0
"11134","CTAGE12P",0,0,0,0,0
"11135","CTAGE13P",0,0,0,0,0
"11136","CTAGE14P",0,0,0,0,0
"11137","CTAGE15",0,0,0,0,0
"11138","CTAGE16P",0,0,0,0,0
"11139","CTAGE3P",0,0,0,0,0
"11140","CTAGE4",0,0,0,0,0
"11141","CTAGE5",14,12,13,20,10
"11142","CTAGE6",0,0,0,0,0
"11143","CTAGE7P",1,1,1,1,1
"11144","CTAGE8",0,0,0,0,0
"11145","CTAGE9",0,0,0,0,0
"11146","CTB-102L5.4",0,0,0,0,0
"11147","CTB-102L5.7",1,0,0,1,0
"11148","CTB-102L5.8",0,0,0,0,0
"11149","CTB-1048E9.7",0,0,0,1,0
"11150","CTB-105L4.2",0,0,0,0,0
"11151","CTB-105N12.2",0,0,0,0,0
"11152","CTB-107G13.1",0,0,0,0,0
"11153","CTB-108O6.2",0,0,0,0,0
"11154","CTB-109A12.1",7,2,1,2,1
"11155","CTB-10G5.1",0,0,0,0,0
"11156","CTB-111F10.1",0,0,0,0,0
"11157","CTB-111H14.1",5,0,1,4,0
"11158","CTB-113D17.1",3,0,0,0,0
"11159","CTB-113I20.1",0,0,0,0,0
"11160","CTB-113I20.2",2,1,1,0,2
"11161","CTB-113P19.1",0,0,0,0,0
"11162","CTB-113P19.3",0,0,1,0,0
"11163","CTB-113P19.4",0,0,0,0,1
"11164","CTB-113P19.5",7,4,13,4,9
"11165","CTB-1144G6.5",0,0,0,0,0
"11166","CTB-1144G6.6",0,0,0,0,0
"11167","CTB-114C7.4",10,7,8,3,2
"11168","CTB-118N6.2",0,0,0,0,0
"11169","CTB-118P15.2",0,0,0,0,0
"11170","CTB-118P15.3",0,0,0,0,0
"11171","CTB-119C2.1",14,8,5,7,2
"11172","CTB-11I22.1",0,0,0,0,0
"11173","CTB-11I22.2",0,0,0,0,0
"11174","CTB-120L21.1",1,0,0,0,0
"11175","CTB-127C13.1",0,0,0,0,0
"11176","CTB-127M13.1",0,0,0,0,0
"11177","CTB-129O4.1",9,2,5,2,3
"11178","CTB-129P6.11",0,4,1,0,0
"11179","CTB-129P6.4",0,1,0,0,2
"11180","CTB-129P6.7",0,0,0,0,0
"11181","CTB-12A17.2",2,0,0,2,2
"11182","CTB-12A17.3",0,0,0,0,0
"11183","CTB-12O2.1",0,1,0,0,2
"11184","CTB-131B5.2",0,0,1,0,0
"11185","CTB-131B5.5",6,3,2,6,0
"11186","CTB-131K11.1",82,54,65,53,43
"11187","CTB-133G6.1",164,156,117,172,66
"11188","CTB-133G6.2",3,5,1,0,1
"11189","CTB-134F13.1",0,0,0,0,0
"11190","CTB-134H23.2",0,0,0,0,0
"11191","CTB-134H23.3",1,0,0,0,0
"11192","CTB-138E5.1",1,0,0,0,0
"11193","CTB-139P11.2",2,0,0,0,0
"11194","CTB-13F3.1",3,1,0,0,0
"11195","CTB-13L3.1",0,0,0,0,0
"11196","CTB-140J7.2",0,0,0,0,0
"11197","CTB-147C13.1",0,0,0,0,0
"11198","CTB-147C22.3",0,0,0,0,0
"11199","CTB-147C22.6",0,0,0,0,0
"11200","CTB-147C22.8",0,0,0,0,0
"11201","CTB-147C22.9",0,0,0,0,0
"11202","CTB-147N14.4",0,0,0,0,0
"11203","CTB-147N14.6",1,2,2,0,1
"11204","CTB-147N14.7",0,0,0,0,0
"11205","CTB-14A14.1",0,0,0,0,0
"11206","CTB-14A14.2",0,0,0,0,0
"11207","CTB-151G24.2",0,0,0,0,0
"11208","CTB-152G17.4",0,0,0,0,0
"11209","CTB-152G17.5",0,0,0,0,0
"11210","CTB-152G17.6",18,7,8,7,2
"11211","CTB-158D10.3",0,0,0,0,0
"11212","CTB-158E9.1",0,0,0,0,0
"11213","CTB-158E9.2",0,0,0,0,0
"11214","CTB-159G17.3",0,0,0,0,0
"11215","CTB-159G17.4",0,0,0,0,0
"11216","CTB-160O22.1",0,0,0,0,0
"11217","CTB-161C1.1",0,0,0,0,2
"11218","CTB-161J7.1",0,0,0,0,0
"11219","CTB-161J7.2",0,0,0,0,0
"11220","CTB-161M19.1",0,0,0,0,1
"11221","CTB-161M19.2",0,0,0,0,0
"11222","CTB-161M19.4",0,0,0,0,0
"11223","CTB-162E12.1",0,0,0,0,0
"11224","CTB-162J7.1",0,0,0,0,0
"11225","CTB-164L20.1",0,0,0,0,1
"11226","CTB-164N12.1",0,0,0,0,0
"11227","CTB-167B5.1",1,0,0,0,0
"11228","CTB-167G5.3",0,0,0,0,0
"11229","CTB-167G5.6",0,0,0,0,0
"11230","CTB-167G5.7",0,0,0,0,0
"11231","CTB-171A8.1",1,0,0,0,0
"11232","CTB-174D11.1",0,0,0,0,0
"11233","CTB-174D11.2",0,0,0,0,0
"11234","CTB-174D11.3",0,0,0,0,0
"11235","CTB-174O21.2",3,1,3,1,0
"11236","CTB-175E5.7",4,4,7,3,2
"11237","CTB-176F20.3",1,1,0,1,0
"11238","CTB-178M22.1",0,0,0,0,0
"11239","CTB-178M22.2",2,0,0,0,0
"11240","CTB-179I1.1",0,0,0,0,0
"11241","CTB-179I1.2",0,0,0,0,0
"11242","CTB-179I1.3",0,0,0,0,0
"11243","CTB-179K24.3",6,2,5,2,2
"11244","CTB-17P3.4",0,1,0,0,0
"11245","CTB-180A7.3",1,0,0,0,1
"11246","CTB-180A7.6",2,0,0,1,0
"11247","CTB-180A7.8",0,0,0,0,0
"11248","CTB-180C19.1",0,0,0,0,0
"11249","CTB-181F24.1",0,0,0,0,0
"11250","CTB-181H17.1",0,0,1,0,1
"11251","CTB-184G21.3",0,0,0,0,0
"11252","CTB-186G2.1",0,1,0,0,0
"11253","CTB-186G2.4",2,0,0,0,0
"11254","CTB-186H2.2",1,0,1,0,0
"11255","CTB-186H2.3",0,0,0,0,0
"11256","CTB-187L3.1",0,0,3,0,0
"11257","CTB-187M2.1",0,0,0,0,0
"11258","CTB-187M2.2",0,0,0,0,0
"11259","CTB-189B5.3",0,0,0,0,0
"11260","CTB-191D16.1",0,0,0,0,0
"11261","CTB-191K22.5",0,0,0,0,0
"11262","CTB-191K22.6",0,3,1,0,0
"11263","CTB-193M12.1",0,0,1,0,0
"11264","CTB-193M12.3",2,0,0,0,0
"11265","CTB-193M12.5",45,27,48,22,22
"11266","CTB-1H10.1",0,0,0,0,0
"11267","CTB-1I21.1",0,0,0,0,0
"11268","CTB-1I21.2",1,0,0,0,0
"11269","CTB-20D2.1",1,0,0,1,0
"11270","CTB-22K14.1",0,0,0,0,0
"11271","CTB-22K21.2",0,0,0,0,0
"11272","CTB-23I7.1",0,0,0,0,0
"11273","CTB-23I7.2",0,0,0,0,0
"11274","CTB-23I7.3",0,0,0,0,0
"11275","CTB-25B13.12",33,26,26,19,14
"11276","CTB-25B13.5",2,0,0,0,0
"11277","CTB-25B13.9",0,0,0,0,0
"11278","CTB-25J19.1",0,0,0,0,0
"11279","CTB-26E19.1",1,0,0,0,0
"11280","CTB-2L9.1",0,0,0,0,0
"11281","CTB-30L5.1",0,0,0,1,0
"11282","CTB-31C7.3",0,0,0,0,0
"11283","CTB-31N19.2",0,0,0,0,0
"11284","CTB-31N19.3",65,29,56,21,31
"11285","CTB-31N19.4",0,0,0,0,0
"11286","CTB-31N19.5",0,0,0,0,0
"11287","CTB-31O20.2",19,8,10,16,12
"11288","CTB-31O20.3",0,0,0,0,0
"11289","CTB-31O20.4",31,17,13,18,10
"11290","CTB-31O20.6",0,0,0,0,0
"11291","CTB-31O20.8",3,0,0,1,0
"11292","CTB-31O20.9",0,0,0,0,0
"11293","CTB-32H22.1",0,0,0,0,0
"11294","CTB-32O4.2",0,0,0,1,0
"11295","CTB-32O4.3",0,0,0,0,0
"11296","CTB-32O4.4",0,0,0,0,0
"11297","CTB-32P11.1",0,0,0,0,0
"11298","CTB-33G10.1",2,7,1,6,7
"11299","CTB-33G10.11",0,0,0,0,0
"11300","CTB-33G10.6",0,0,0,0,0
"11301","CTB-33O18.1",0,0,0,0,0
"11302","CTB-33O18.2",0,0,0,0,0
"11303","CTB-33O18.3",3,2,1,0,0
"11304","CTB-35F21.1",0,1,0,0,0
"11305","CTB-35F21.2",0,0,0,0,0
"11306","CTB-35F21.3",0,0,0,0,0
"11307","CTB-35F21.4",0,0,0,0,0
"11308","CTB-35F21.5",0,0,0,0,0
"11309","CTB-36H16.2",10,18,13,10,7
"11310","CTB-37A13.1",1,0,0,0,0
"11311","CTB-39G8.2",0,0,0,0,0
"11312","CTB-39G8.3",46,32,31,26,26
"11313","CTB-3M24.1",0,0,0,0,0
"11314","CTB-3M24.2",0,0,0,0,0
"11315","CTB-3M24.3",0,0,0,0,0
"11316","CTB-40H15.4",0,0,0,0,0
"11317","CTB-41I6.1",12,6,11,5,6
"11318","CTB-41I6.2",13,5,11,7,7
"11319","CTB-43E15.1",0,0,0,0,0
"11320","CTB-43E15.2",0,0,0,0,0
"11321","CTB-43I4.1",0,0,0,0,0
"11322","CTB-43P18.1",0,0,0,0,0
"11323","CTB-46B19.2",2,0,1,0,0
"11324","CTB-47B11.1",0,0,0,0,0
"11325","CTB-47B11.3",3,4,2,6,0
"11326","CTB-47B8.1",2,1,1,1,0
"11327","CTB-47B8.4",0,0,0,0,0
"11328","CTB-47B8.5",0,0,0,1,0
"11329","CTB-49A3.1",0,0,0,0,0
"11330","CTB-49A3.2",0,0,0,0,0
"11331","CTB-49A3.4",0,0,0,0,0
"11332","CTB-49A3.5",0,0,0,0,0
"11333","CTB-4E7.1",4,1,1,0,0
"11334","CTB-50E14.4",0,0,0,0,0
"11335","CTB-50E14.5",0,0,0,0,0
"11336","CTB-50L17.10",236,246,182,180,206
"11337","CTB-50L17.14",8,4,3,0,0
"11338","CTB-50L17.16",0,0,1,1,3
"11339","CTB-50L17.2",2,0,0,0,0
"11340","CTB-50L17.5",0,0,1,0,0
"11341","CTB-50L17.7",0,0,0,0,0
"11342","CTB-50L17.8",8,3,4,3,1
"11343","CTB-50L17.9",8,1,3,1,2
"11344","CTB-51A17.1",0,0,0,0,0
"11345","CTB-51E13.1",0,1,0,0,0
"11346","CTB-51J22.1",0,0,0,0,0
"11347","CTB-52I2.3",0,0,0,0,0
"11348","CTB-52I2.4",0,1,0,0,0
"11349","CTB-52I2.7",0,0,0,0,0
"11350","CTB-54I1.1",0,0,0,0,0
"11351","CTB-54O9.9",0,0,0,0,0
"11352","CTB-55O6.10",1,0,0,0,0
"11353","CTB-55O6.12",38,30,28,30,20
"11354","CTB-55O6.13",0,0,2,0,1
"11355","CTB-55O6.4",0,0,0,0,1
"11356","CTB-55O6.8",25,32,7,36,36
"11357","CTB-55P19.1",0,0,0,0,0
"11358","CTB-56J15.1",0,0,0,0,0
"11359","CTB-57H20.1",0,0,0,0,0
"11360","CTB-58E17.1",36,26,32,18,18
"11361","CTB-58E17.2",0,0,0,0,0
"11362","CTB-58E17.3",5,4,0,0,0
"11363","CTB-58E17.5",0,0,1,0,0
"11364","CTB-58E17.9",1,0,1,0,1
"11365","CTB-5E10.3",0,0,0,0,0
"11366","CTB-60B18.10",0,0,0,0,0
"11367","CTB-60B18.12",0,0,0,0,0
"11368","CTB-60B18.15",0,0,0,0,0
"11369","CTB-60B18.17",0,0,0,0,0
"11370","CTB-60B18.18",0,0,0,0,0
"11371","CTB-60B18.6",0,0,0,0,0
"11372","CTB-60E11.11",0,0,0,0,0
"11373","CTB-60E11.12",0,0,0,0,0
"11374","CTB-60E11.9",0,0,0,0,0
"11375","CTB-61M7.1",0,0,0,0,0
"11376","CTB-61M7.2",101,43,102,23,41
"11377","CTB-63M22.1",0,0,0,0,0
"11378","CTB-66B24.1",0,0,0,0,0
"11379","CTB-70D19.1",0,0,0,0,1
"11380","CTB-70G10.1",0,0,0,0,0
"11381","CTB-73N10.1",0,0,0,0,0
"11382","CTB-75G16.1",7,4,1,6,2
"11383","CTB-75G16.3",4,0,1,0,0
"11384","CTB-77H17.1",0,0,0,0,0
"11385","CTB-78F1.1",0,0,0,0,0
"11386","CTB-78F1.2",0,0,0,0,0
"11387","CTB-78H18.1",0,0,0,0,0
"11388","CTB-78O21.1",2,0,0,0,0
"11389","CTB-79E8.2",0,0,0,0,0
"11390","CTB-79E8.3",0,0,1,0,0
"11391","CTB-79E8.4",0,0,0,0,0
"11392","CTB-7E3.1",0,0,0,0,0
"11393","CTB-83J4.1",1,0,0,0,0
"11394","CTB-83J4.2",0,0,0,0,0
"11395","CTB-85P21.1",1,3,0,3,3
"11396","CTB-88F18.2",0,0,0,0,0
"11397","CTB-88F18.3",0,0,0,0,0
"11398","CTB-88F18.4",0,0,0,0,0
"11399","CTB-89H12.4",122,60,74,46,24
"11400","CTB-91J4.1",8,0,12,1,0
"11401","CTB-92J24.2",1,0,0,1,0
"11402","CTB-92J24.3",0,0,0,0,0
"11403","CTB-95B16.1",0,0,0,0,0
"11404","CTB-95D12.1",0,0,0,0,0
"11405","CTB-96E2.10",1,0,0,0,1
"11406","CTB-96E2.2",0,0,0,0,0
"11407","CTB-96E2.3",0,0,0,0,0
"11408","CTB-96E2.6",0,1,0,1,0
"11409","CTB-96E2.7",0,0,0,0,0
"11410","CTB-99A3.1",0,0,0,0,0
"11411","CTBP1",705,526,613,482,464
"11412","CTBP1-AS",32,17,13,11,5
"11413","CTBP1-AS2",114,73,83,68,70
"11414","CTBP2",203,155,247,137,101
"11415","CTBP2P1",0,0,0,0,0
"11416","CTBP2P2",0,0,0,0,0
"11417","CTBP2P3",0,0,0,0,0
"11418","CTBP2P4",0,0,1,0,0
"11419","CTBP2P5",0,0,0,0,0
"11420","CTBP2P6",0,0,0,0,0
"11421","CTBP2P7",0,0,0,0,0
"11422","CTBP2P8",3,0,0,0,1
"11423","CTBS",608,309,433,332,201
"11424","CTC-1337H24.3",0,0,1,0,0
"11425","CTC-1337H24.4",0,1,0,0,0
"11426","CTC-137K3.1",0,1,0,1,0
"11427","CTC-203F4.2",3,0,0,0,0
"11428","CTC-204F22.1",1,0,0,0,0
"11429","CTC-205M6.1",0,4,2,4,2
"11430","CTC-207P7.1",0,0,0,0,0
"11431","CTC-209H22.3",0,0,0,0,0
"11432","CTC-209L16.1",0,0,1,0,0
"11433","CTC-215O4.4",0,0,0,1,0
"11434","CTC-218B8.3",0,0,0,0,0
"11435","CTC-218H9.1",0,0,0,0,0
"11436","CTC-224D3.1",0,0,0,0,0
"11437","CTC-228N24.2",0,0,0,0,0
"11438","CTC-229L21.1",0,0,0,0,0
"11439","CTC-232H10.1",0,0,0,0,2
"11440","CTC-232P5.1",3,0,3,0,1
"11441","CTC-232P5.3",0,0,3,0,1
"11442","CTC-232P5.4",0,1,1,0,0
"11443","CTC-233O10.1",0,0,0,0,0
"11444","CTC-235G5.2",0,0,1,0,0
"11445","CTC-235G5.3",0,0,0,0,0
"11446","CTC-236F12.4",6,1,4,0,2
"11447","CTC-239J10.1",0,0,0,0,0
"11448","CTC-241F20.4",0,0,0,1,0
"11449","CTC-241N9.1",2,1,2,5,1
"11450","CTC-242N15.1",0,0,0,0,0
"11451","CTC-244M17.1",0,0,1,0,0
"11452","CTC-246B18.10",11,7,5,4,7
"11453","CTC-246B18.8",5,3,6,1,2
"11454","CTC-248O19.1",1,1,0,0,0
"11455","CTC-250I14.3",0,0,0,0,0
"11456","CTC-250I14.6",0,0,0,0,0
"11457","CTC-250P20.1",0,0,0,0,0
"11458","CTC-250P20.2",0,0,0,1,0
"11459","CTC-251D13.1",4,2,6,1,1
"11460","CTC-251I16.1",353,229,161,211,140
"11461","CTC-254B4.1",0,0,0,0,0
"11462","CTC-255N20.1",0,0,0,0,0
"11463","CTC-258N23.3",0,0,0,0,0
"11464","CTC-260E6.12",0,0,0,0,0
"11465","CTC-260E6.2",0,0,0,0,0
"11466","CTC-260E6.3",0,0,0,1,0
"11467","CTC-260E6.4",1,1,2,1,2
"11468","CTC-260E6.6",3,0,0,1,0
"11469","CTC-260E6.7",0,0,0,0,0
"11470","CTC-260E6.9",0,0,0,0,0
"11471","CTC-260F20.3",1,0,1,1,2
"11472","CTC-261N6.1",0,0,0,0,0
"11473","CTC-261N6.2",0,0,0,0,0
"11474","CTC-261N6.3",0,0,0,0,0
"11475","CTC-264K15.6",0,0,0,0,0
"11476","CTC-264O10.1",0,0,0,0,0
"11477","CTC-264O10.2",0,0,0,0,0
"11478","CTC-265F19.1",2,0,0,0,0
"11479","CTC-265F19.2",0,1,0,0,0
"11480","CTC-265F19.3",1,0,0,0,0
"11481","CTC-265N9.1",0,0,0,0,0
"11482","CTC-268N12.2",1,0,0,0,0
"11483","CTC-268N12.3",0,0,0,0,0
"11484","CTC-270D5.1",0,0,0,0,0
"11485","CTC-270D5.2",0,0,0,0,0
"11486","CTC-273B12.10",1,3,0,4,1
"11487","CTC-273B12.5",0,0,0,0,0
"11488","CTC-273B12.7",0,0,0,0,0
"11489","CTC-276P9.2",0,0,0,0,0
"11490","CTC-276P9.3",0,0,0,0,0
"11491","CTC-276P9.4",0,0,0,0,0
"11492","CTC-277H1.6",6,0,0,0,0
"11493","CTC-277H1.7",2,3,1,0,0
"11494","CTC-278L1.1",0,0,0,0,0
"11495","CTC-280C13.1",0,0,0,0,0
"11496","CTC-281F24.1",5,2,1,1,0
"11497","CTC-281F24.2",0,0,0,0,0
"11498","CTC-281F24.3",14,7,3,13,4
"11499","CTC-281F24.5",6,2,6,6,2
"11500","CTC-281M20.1",0,0,0,0,0
"11501","CTC-281M20.3",0,0,0,0,0
"11502","CTC-281M20.4",0,0,0,0,0
"11503","CTC-286N12.1",0,0,0,0,0
"11504","CTC-287O8.1",0,0,0,0,0
"11505","CTC-293G12.1",0,0,0,0,0
"11506","CTC-295J13.3",0,0,0,0,0
"11507","CTC-296K1.3",0,0,0,0,0
"11508","CTC-296K1.4",0,0,0,0,0
"11509","CTC-297N7.1",0,0,0,1,0
"11510","CTC-297N7.10",0,0,1,0,0
"11511","CTC-297N7.7",0,0,0,0,0
"11512","CTC-297N7.9",1,0,0,0,0
"11513","CTC-301O7.4",14,15,10,7,7
"11514","CTC-303L1.1",3,2,3,2,2
"11515","CTC-303L1.2",4,1,4,1,0
"11516","CTC-304I17.1",0,0,0,0,0
"11517","CTC-304I17.2",0,0,0,0,0
"11518","CTC-304I17.3",0,0,0,0,0
"11519","CTC-304I17.4",0,0,0,0,0
"11520","CTC-304I17.5",0,0,0,0,0
"11521","CTC-305H11.1",0,0,0,0,0
"11522","CTC-308K20.1",1,1,0,0,0
"11523","CTC-308K20.2",0,0,0,0,0
"11524","CTC-308K20.3",1,1,0,1,1
"11525","CTC-308K20.4",0,0,2,1,0
"11526","CTC-311G1.1",0,0,0,0,0
"11527","CTC-311G1.2",0,0,0,0,0
"11528","CTC-312O10.2",1,0,0,1,0
"11529","CTC-312O10.3",3,3,1,3,3
